prompt,model,temperature,top_p,lexical_diversity,query_coverage,flesch_kincaid_grade,repetition_penalty
When did Virgin Australia start operating?,gemini-2.0-flash-lite,0.1,0.2,77.51,42.5,9.09,18.54
When did Virgin Australia start operating?,gemini-2.0-flash-lite,0.1,0.4,80.6,44.31,9.93,14.72
When did Virgin Australia start operating?,gemini-2.0-flash-lite,0.1,0.6,82.04,40.92,9.23,14.23
When did Virgin Australia start operating?,gemini-2.0-flash-lite,0.1,0.8,83.16,40.8,9.84,11.47
When did Virgin Australia start operating?,gemini-2.0-flash-lite,0.1,1.0,86.63,41.56,10.13,5.24
When did Virgin Australia start operating?,gemini-2.0-flash-lite,0.3,0.2,82.67,43.59,9.37,16.53
When did Virgin Australia start operating?,gemini-2.0-flash-lite,0.3,0.4,85.98,41.35,9.17,13.18
When did Virgin Australia start operating?,gemini-2.0-flash-lite,0.3,0.6,88.24,41.61,10.13,13.98
When did Virgin Australia start operating?,gemini-2.0-flash-lite,0.3,0.8,89.69,42.29,9.71,9.91
When did Virgin Australia start operating?,gemini-2.0-flash-lite,0.3,1.0,93.57,40.07,10.39,7.06
When did Virgin Australia start operating?,gemini-2.0-flash-lite,0.5,0.2,86.77,39.38,9.43,15.74
When did Virgin Australia start operating?,gemini-2.0-flash-lite,0.5,0.4,86.97,39.33,9.38,12.67
When did Virgin Australia start operating?,gemini-2.0-flash-lite,0.5,0.6,91.89,39.06,9.8,9.26
When did Virgin Australia start operating?,gemini-2.0-flash-lite,0.5,0.8,93.12,40.55,10.24,8.65
When did Virgin Australia start operating?,gemini-2.0-flash-lite,0.5,1.0,95.43,38.92,9.75,4.28
When did Virgin Australia start operating?,gemini-2.0-flash-lite,0.7,0.2,92.41,40.16,10.03,16.51
When did Virgin Australia start operating?,gemini-2.0-flash-lite,0.7,0.4,94.52,39.9,9.73,9.59
When did Virgin Australia start operating?,gemini-2.0-flash-lite,0.7,0.6,95.11,37.07,9.81,12.06
When did Virgin Australia start operating?,gemini-2.0-flash-lite,0.7,0.8,100.0,36.46,10.44,5.77
When did Virgin Australia start operating?,gemini-2.0-flash-lite,0.7,1.0,100.0,36.24,10.07,1.88
When did Virgin Australia start operating?,gemini-2.0-flash-lite,0.9,0.2,95.2,37.05,10.26,16.19
When did Virgin Australia start operating?,gemini-2.0-flash-lite,0.9,0.4,97.25,36.08,10.85,10.86
When did Virgin Australia start operating?,gemini-2.0-flash-lite,0.9,0.6,98.71,34.59,9.89,8.56
When did Virgin Australia start operating?,gemini-2.0-flash-lite,0.9,0.8,100.0,35.29,9.93,4.09
When did Virgin Australia start operating?,gemini-2.0-flash-lite,0.9,1.0,100.0,34.92,11.12,3.96
Which is a species of fish? Tope or Rope,gemini-2.0-flash-lite,0.1,0.2,83.55,23.08,4.79,20.42
Which is a species of fish? Tope or Rope,gemini-2.0-flash-lite,0.1,0.4,87.57,22.36,4.39,16.81
Which is a species of fish? Tope or Rope,gemini-2.0-flash-lite,0.1,0.6,91.31,23.22,5.58,12.78
Which is a species of fish? Tope or Rope,gemini-2.0-flash-lite,0.1,0.8,94.5,19.71,5.92,13.42
Which is a species of fish? Tope or Rope,gemini-2.0-flash-lite,0.1,1.0,96.69,21.16,5.84,6.12
Which is a species of fish? Tope or Rope,gemini-2.0-flash-lite,0.3,0.2,91.55,21.56,5.39,18.78
Which is a species of fish? Tope or Rope,gemini-2.0-flash-lite,0.3,0.4,91.5,20.3,4.77,18.17
Which is a species of fish? Tope or Rope,gemini-2.0-flash-lite,0.3,0.6,98.01,21.93,5.4,9.95
Which is a species of fish? Tope or Rope,gemini-2.0-flash-lite,0.3,0.8,100.0,21.99,5.43,9.52
Which is a species of fish? Tope or Rope,gemini-2.0-flash-lite,0.3,1.0,100.0,20.84,6.55,4.37
Which is a species of fish? Tope or Rope,gemini-2.0-flash-lite,0.5,0.2,95.4,20.8,5.27,19.23
Which is a species of fish? Tope or Rope,gemini-2.0-flash-lite,0.5,0.4,98.19,19.05,5.9,15.38
Which is a species of fish? Tope or Rope,gemini-2.0-flash-lite,0.5,0.6,100.0,19.05,6.74,11.9
Which is a species of fish? Tope or Rope,gemini-2.0-flash-lite,0.5,0.8,100.0,19.47,6.0,6.35
Which is a species of fish? Tope or Rope,gemini-2.0-flash-lite,0.5,1.0,100.0,19.35,6.44,3.32
Which is a species of fish? Tope or Rope,gemini-2.0-flash-lite,0.7,0.2,98.78,20.32,5.74,17.83
Which is a species of fish? Tope or Rope,gemini-2.0-flash-lite,0.7,0.4,100.0,17.68,6.06,13.41
Which is a species of fish? Tope or Rope,gemini-2.0-flash-lite,0.7,0.6,100.0,17.53,7.21,9.83
Which is a species of fish? Tope or Rope,gemini-2.0-flash-lite,0.7,0.8,100.0,19.74,7.37,4.54
Which is a species of fish? Tope or Rope,gemini-2.0-flash-lite,0.7,1.0,100.0,17.92,7.22,3.2
Which is a species of fish? Tope or Rope,gemini-2.0-flash-lite,0.9,0.2,100.0,19.69,7.18,11.39
Which is a species of fish? Tope or Rope,gemini-2.0-flash-lite,0.9,0.4,100.0,17.96,7.35,9.29
Which is a species of fish? Tope or Rope,gemini-2.0-flash-lite,0.9,0.6,100.0,17.99,7.14,6.47
Which is a species of fish? Tope or Rope,gemini-2.0-flash-lite,0.9,0.8,100.0,19.49,7.49,6.97
Which is a species of fish? Tope or Rope,gemini-2.0-flash-lite,0.9,1.0,100.0,15.6,8.48,3.82
Why can camels survive for long without water?,gemini-2.0-flash-lite,0.1,0.2,87.38,38.7,8.29,18.2
Why can camels survive for long without water?,gemini-2.0-flash-lite,0.1,0.4,88.44,35.18,7.84,14.55
Why can camels survive for long without water?,gemini-2.0-flash-lite,0.1,0.6,91.02,37.6,7.76,15.9
Why can camels survive for long without water?,gemini-2.0-flash-lite,0.1,0.8,94.32,34.69,8.67,14.17
Why can camels survive for long without water?,gemini-2.0-flash-lite,0.1,1.0,97.72,35.2,7.79,6.98
Why can camels survive for long without water?,gemini-2.0-flash-lite,0.3,0.2,92.37,35.98,8.09,20.09
Why can camels survive for long without water?,gemini-2.0-flash-lite,0.3,0.4,91.73,35.33,8.13,17.72
Why can camels survive for long without water?,gemini-2.0-flash-lite,0.3,0.6,95.13,36.17,7.7,10.71
Why can camels survive for long without water?,gemini-2.0-flash-lite,0.3,0.8,99.88,34.36,7.97,7.32
Why can camels survive for long without water?,gemini-2.0-flash-lite,0.3,1.0,100.0,31.98,8.49,7.32
Why can camels survive for long without water?,gemini-2.0-flash-lite,0.5,0.2,95.18,34.66,8.23,19.61
Why can camels survive for long without water?,gemini-2.0-flash-lite,0.5,0.4,97.32,34.53,7.97,13.37
Why can camels survive for long without water?,gemini-2.0-flash-lite,0.5,0.6,100.0,32.2,8.15,12.51
Why can camels survive for long without water?,gemini-2.0-flash-lite,0.5,0.8,100.0,32.16,9.05,10.98
Why can camels survive for long without water?,gemini-2.0-flash-lite,0.5,1.0,100.0,30.52,8.26,7.6
Why can camels survive for long without water?,gemini-2.0-flash-lite,0.7,0.2,100.0,34.51,8.22,13.35
Why can camels survive for long without water?,gemini-2.0-flash-lite,0.7,0.4,100.0,33.14,8.59,15.32
Why can camels survive for long without water?,gemini-2.0-flash-lite,0.7,0.6,100.0,29.69,8.92,8.2
Why can camels survive for long without water?,gemini-2.0-flash-lite,0.7,0.8,100.0,32.75,8.18,4.09
Why can camels survive for long without water?,gemini-2.0-flash-lite,0.7,1.0,100.0,30.54,8.43,4.03
Why can camels survive for long without water?,gemini-2.0-flash-lite,0.9,0.2,100.0,30.48,8.7,12.38
Why can camels survive for long without water?,gemini-2.0-flash-lite,0.9,0.4,100.0,32.62,9.04,8.35
Why can camels survive for long without water?,gemini-2.0-flash-lite,0.9,0.6,100.0,29.44,8.11,9.43
Why can camels survive for long without water?,gemini-2.0-flash-lite,0.9,0.8,100.0,28.71,9.08,5.11
Why can camels survive for long without water?,gemini-2.0-flash-lite,0.9,1.0,100.0,27.04,8.36,4.1
"Alice's parents have three daughters: Amy, Jessy, and what’s the name of the third daughter?",gemini-2.0-flash-lite,0.1,0.2,76.43,31.9,4.98,20.7
"Alice's parents have three daughters: Amy, Jessy, and what’s the name of the third daughter?",gemini-2.0-flash-lite,0.1,0.4,76.03,29.65,4.62,19.59
"Alice's parents have three daughters: Amy, Jessy, and what’s the name of the third daughter?",gemini-2.0-flash-lite,0.1,0.6,81.25,32.01,5.61,12.46
"Alice's parents have three daughters: Amy, Jessy, and what’s the name of the third daughter?",gemini-2.0-flash-lite,0.1,0.8,81.69,28.41,5.76,13.5
"Alice's parents have three daughters: Amy, Jessy, and what’s the name of the third daughter?",gemini-2.0-flash-lite,0.1,1.0,84.94,29.91,5.3,10.78
"Alice's parents have three daughters: Amy, Jessy, and what’s the name of the third daughter?",gemini-2.0-flash-lite,0.3,0.2,80.65,32.47,5.43,20.89
"Alice's parents have three daughters: Amy, Jessy, and what’s the name of the third daughter?",gemini-2.0-flash-lite,0.3,0.4,79.91,30.94,5.14,18.18
"Alice's parents have three daughters: Amy, Jessy, and what’s the name of the third daughter?",gemini-2.0-flash-lite,0.3,0.6,85.65,30.88,6.01,11.2
"Alice's parents have three daughters: Amy, Jessy, and what’s the name of the third daughter?",gemini-2.0-flash-lite,0.3,0.8,88.21,27.29,6.38,11.75
"Alice's parents have three daughters: Amy, Jessy, and what’s the name of the third daughter?",gemini-2.0-flash-lite,0.3,1.0,88.58,29.55,6.18,5.43
"Alice's parents have three daughters: Amy, Jessy, and what’s the name of the third daughter?",gemini-2.0-flash-lite,0.5,0.2,84.74,28.34,4.98,15.16
"Alice's parents have three daughters: Amy, Jessy, and what’s the name of the third daughter?",gemini-2.0-flash-lite,0.5,0.4,85.5,30.31,6.41,12.67
"Alice's parents have three daughters: Amy, Jessy, and what’s the name of the third daughter?",gemini-2.0-flash-lite,0.5,0.6,89.38,27.88,6.73,11.22
"Alice's parents have three daughters: Amy, Jessy, and what’s the name of the third daughter?",gemini-2.0-flash-lite,0.5,0.8,93.19,26.17,7.02,6.07
"Alice's parents have three daughters: Amy, Jessy, and what’s the name of the third daughter?",gemini-2.0-flash-lite,0.5,1.0,95.91,26.2,6.3,4.61
"Alice's parents have three daughters: Amy, Jessy, and what’s the name of the third daughter?",gemini-2.0-flash-lite,0.7,0.2,88.85,27.54,6.2,15.47
"Alice's parents have three daughters: Amy, Jessy, and what’s the name of the third daughter?",gemini-2.0-flash-lite,0.7,0.4,90.1,28.02,6.08,13.65
